catalog,vizier_source,vizier_table,recno,XMMXCS,Name,RAJ2000,DEJ2000,Counts,z,r_z,n_z,TX,e_TX,E_TX,OName,n_zoo,zoo,L500,e_L500,E_L500,R500,e_R500,E_R500,L200,e_L200,E_L200,R200,e_R200,E_R200,Simbad,RA_deg,Dec_deg
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,378,J133605.0+514531.2,J1336.0+5145,204.020833,51.758667,1005.5,0.53,DR7,phot,1.7,0.2,0.2,,DR7,s,0.301,0.171,0.043,346,20,18,0.741,0.261,0.103,525,31,28,Simbad,204.020833,51.758667
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,379,J133909.2+481152.7,J1339.1+4811,204.788333,48.197972,172.2,0.41,LRG,spec,1.7,0.3,0.4,,DR7,s,0.235,0.066,0.076,402,42,49,0.339,0.11,0.133,610,63,74,Simbad,204.788333,48.197972
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,380,J134124.3-010204.0,J1341.4-0102,205.35125,-1.034444,229.1,0.29,LRG,spec,2.3,0.7,3.1,MaxBCG J205.35590-01.04186,DR7,s,0.4,0.28,0.256,544,106,347,0.789,0.657,0.692,825,161,526,Simbad,205.35125,-1.034444
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,381,J134139.3+001733.9,J1341.6+0017,205.41375,0.29275,214.3,0.44,DR7,phot,4.9,0.9,1.4,BPG2004 J134139.1+001739.3,DR7,s,1.747,0.459,0.246,709,78,107,3.192,1.567,0.42,1075,118,162,Simbad,205.41375,0.29275
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,382,J134305.1-000056.8,J1343.0-0000,205.77125,-0.015778,1338.4,0.55,DR7,phot,4.2,0.7,0.7,BPG2004 J134304.8-000056.3,DR7,s,2.469,0.191,0.32,572,60,52,2.879,0.342,0.534,868,91,79,Simbad,205.77125,-0.015778
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,383,J134326.9+554648.3,J1343.4+5546,205.862083,55.780083,209.3,0.07,LRG,spec,1.8,0.5,1.0,400d J1343+5546,DR7,s,0.065,0.062,0.071,586,109,170,0.104,0.102,0.117,889,166,258,Simbad,205.862083,55.780083
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,384,J134645.9+264625.7,J1346.7+2646,206.69125,26.773806,258.7,0.43,LRG,spec,1e+20,1e+20,1e+20,,DR7,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,206.69125,26.773806
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,385,J134825.6+580015.8,J1348.4+5800,207.106667,58.004389,637.2,0.13,LRG,spec,1.6,0.2,0.3,,DR7,s,0.065,0.031,0.022,512,32,46,0.082,0.043,0.033,777,49,70,Simbad,207.106667,58.004389
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,386,J134851.8+600942.5,J1348.8+6009,207.215833,60.161806,188.0,0.44,DR7,phot,2.0,0.3,0.5,,DR7,s,0.238,0.058,0.066,421,32,56,0.24,0.06,0.087,639,49,86,Simbad,207.215833,60.161806
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,387,J134949.7+270605.3,J1349.8+2706,207.457083,27.101472,144.8,0.42,LRG,spec,1.8,0.4,0.8,,DR7,s,0.465,0.21,0.237,414,53,101,0.601,0.332,0.448,628,80,153,Simbad,207.457083,27.101472
