catalog,vizier_source,vizier_table,recno,Zwicky,RA1950,DE1950,Type,GalCnt,Diam,DistGroup,GLON,GLAT,RLamb,XLamb,YLamb,SGLON,SGLAT,ClusRad,ClusArea,Pop,_RA.icrs,_DE.icrs,RA_deg,Dec_deg
zwicky,VII/4A/zwicky,VII/4A/zwicky,554,554,01 47.7,+14 24,3,73,2.1,5,143.62,-45.84,-0.7518,0.4459,-0.6053,314.5,-8.88,0.2,0.121,605,01 50 23.7,+14 38 51,27.59875,14.647499999999999
zwicky,VII/4A/zwicky,VII/4A/zwicky,555,555,01 47.9,+20 09,3,41,0.8,5,141.25,-40.36,-0.8396,0.5255,-0.6547,320.0,-7.04,0.07,0.017,2344,01 50 39.1,+20 23 50,27.662916666666668,20.397222222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,556,556,01 48.1,+13 40,2,55,1.9,5,144.1,-46.5,-0.7411,0.4345,-0.6003,313.83,-9.21,0.18,0.099,557,01 50 47.3,+13 54 50,27.69708333333333,13.91388888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,557,557,01 48.9,+18 55,3,35,0.6,5,142.04,-41.46,-0.822,0.5057,-0.6481,318.91,-7.67,0.06,0.01,3557,01 51 38.4,+19 09 48,27.909999999999997,19.16333333333333
zwicky,VII/4A/zwicky,VII/4A/zwicky,558,558,01 49.0,+32 40,2,163,4.5,2,137.32,-28.26,-1.0261,0.6956,-0.7544,331.88,-2.94,0.42,0.553,294,01 51 53.7,+32 54 48,27.97375,32.913333333333334
zwicky,VII/4A/zwicky,VII/4A/zwicky,559,559,01 49.2,+01 36,2,78,1.7,5,151.96,-57.58,-0.5583,0.2624,-0.4927,302.19,-13.13,0.16,0.079,987,01 51 46.7,+01 50 48,27.94458333333333,1.846666666666667
zwicky,VII/4A/zwicky,VII/4A/zwicky,560,560,01 49.6,+01 17,2,84,1.5,4,152.39,-57.83,-0.5542,0.2569,-0.4911,301.9,-13.32,0.14,0.061,1366,01 52 10.5,+01 31 47,28.043749999999996,1.5297222222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,561,561,01 49.8,+19 27,2,118,3.0,5,142.09,-40.89,-0.8311,0.5107,-0.6557,319.49,-7.69,0.28,0.246,479,01 52 32.8,+19 41 47,28.136666666666663,19.69638888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,562,562,01 49.8,+29 25,3,55,0.7,5,138.51,-31.35,-0.9795,0.6489,-0.7337,328.89,-4.25,0.07,0.013,4107,01 52 39.4,+29 39 46,28.164166666666663,29.662777777777777
zwicky,VII/4A/zwicky,VII/4A/zwicky,563,563,01 49.8,+42 01,2,102,2.7,3,134.9,-19.18,-1.1589,0.8209,-0.8181,340.67,0.25,0.25,0.199,512,01 52 50.0,+42 15 46,28.20833333333333,42.26277777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,564,564,01 50.0,-01 06,2,108,6.3,3,154.64,-59.91,-0.5192,0.2224,-0.4691,299.58,-14.07,0.59,1.085,99,01 52 33.2,-00 51 14,28.138333333333332,-0.8538888888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,565,565,01 50.2,+37 18,2,83,1.6,5,136.25,-23.72,-1.0933,0.756,-0.7898,336.3,-1.52,0.15,0.07,1186,01 53 09.7,+37 32 45,28.290416666666665,37.545833333333334
zwicky,VII/4A/zwicky,VII/4A/zwicky,566,566,01 50.8,-01 24,2,74,1.3,5,155.27,-60.08,-0.5163,0.216,-0.4689,299.34,-14.35,0.12,0.046,1602,01 53 21.1,-01 09 15,28.33791666666666,-1.1541666666666666
zwicky,VII/4A/zwicky,VII/4A/zwicky,567,567,01 50.8,+36 15,2,450,18.9,1,136.68,-24.71,-1.0789,0.7402,-0.7849,335.36,-2.01,1.76,9.761,46,01 53 44.9,+36 29 44,28.43708333333333,36.495555555555555
zwicky,VII/4A/zwicky,VII/4A/zwicky,568,568,01 50.9,+30 50,2,570,27.8,1,138.33,-29.92,-1.0012,0.6656,-0.7478,330.31,-3.98,2.59,21.119,26,01 53 46.6,+31 04 44,28.444166666666664,31.078888888888887
zwicky,VII/4A/zwicky,VII/4A/zwicky,569,569,01 51.0,-01 36,3,109,1.5,5,155.55,-60.23,-0.5137,0.2126,-0.4677,299.15,-14.45,0.14,0.061,1772,01 53 32.9,-01 21 16,28.38708333333333,-1.3544444444444446
zwicky,VII/4A/zwicky,VII/4A/zwicky,570,570,01 51.0,+05 15,2,96,3.5,5,149.98,-54.08,-0.6167,0.3086,-0.534,305.9,-12.5,0.33,0.335,286,01 53 36.7,+05 29 44,28.402916666666663,5.495555555555556
zwicky,VII/4A/zwicky,VII/4A/zwicky,571,571,01 51.3,+13 34,3,87,2.0,5,145.21,-46.34,-0.7438,0.4244,-0.6108,313.98,-9.98,0.19,0.109,795,01 53 59.4,+13 48 44,28.497499999999995,13.812222222222223
zwicky,VII/4A/zwicky,VII/4A/zwicky,572,572,01 51.5,+00 52,2,123,7.4,3,153.53,-57.99,-0.5515,0.2458,-0.4937,301.63,-13.89,0.69,1.496,82,01 54 04.3,+01 06 43,28.51791666666666,1.1119444444444446
zwicky,VII/4A/zwicky,VII/4A/zwicky,573,573,01 51.7,+07 00,2,62,2.1,5,149.08,-52.4,-0.6445,0.3312,-0.5528,307.67,-12.14,0.2,0.121,514,01 54 19.7,+07 14 43,28.58208333333333,7.245277777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,574,574,01 51.8,+16 45,1,140,9.2,2,143.86,-43.3,-0.7927,0.4675,-0.6402,317.07,-9.05,0.86,2.313,60,01 54 31.4,+16 59 42,28.630833333333328,16.995
