catalog,vizier_source,vizier_table,recno,XLSSC,RAJ2000,DEJ2000,z,Ngal,Class,Mgas500kpc,E_Mgas500kpc,e_Mgas500kpc,r500MT,T300kpc,E_T300kpc,e_T300kpc,LXXL500MT,e_LXXL500MT,F60,e_F60,Flags,RA_deg,Dec_deg
xxl,IX/52/xxl365gc,IX/52/xxl365gc,127,123,36.487,-5.643,0.194,8,1,24.3,2.51,3.07,16959,1e+20,1e+20,1e+20,1e+20,1e+20,17,4,l,36.48699951171875,-5.64300012588501
xxl,IX/52/xxl365gc,IX/52/xxl365gc,128,51,36.498,-2.825,0.279,8,1,9.94,2.68,2.31,523,1.34,0.09,0.09,4.57,0.28,14,2,+l,36.49800109863281,-2.825000047683716
xxl,IX/52/xxl365gc,IX/52/xxl365gc,129,11,36.54,-4.969,0.054,41,1,12.69,1.19,1.64,639,1.57,0.29,0.11,1.27,0.12,32,3,+l,36.540000915527344,-4.968999862670898
xxl,IX/52/xxl365gc,IX/52/xxl365gc,130,52,36.567,-2.666,0.056,3,1,3.99,0.83,0.74,385,0.63,0.04,0.03,1.32,0.1,90,5,+l,36.56700134277344,-2.6659998893737793
xxl,IX/52/xxl365gc,IX/52/xxl365gc,131,191,36.574,-5.078,0.054,31,1,15.92,0.56,0.62,481,0.94,0.05,0.06,1.12,0.1,39,4,l,36.57400131225586,-5.078000068664551
xxl,IX/52/xxl365gc,IX/52/xxl365gc,132,20,36.635,-5.001,0.494,4,2,1e+20,1e+20,1e+20,874,1.65,0.3,0.23,19.24,3.18,10,4,+,36.6349983215332,-5.000999927520752
xxl,IX/52/xxl365gc,IX/52/xxl365gc,133,9,36.685,-3.684,0.328,9,2,47.72,3.14,3.44,16959,1e+20,1e+20,1e+20,1e+20,1e+20,17,4,+l,36.685001373291016,-3.684000015258789
xxl,IX/52/xxl365gc,IX/52/xxl365gc,134,190,36.748,-4.589,0.07,11,1,12.81,0.94,1.25,512,1.07,0.07,0.07,1.07,0.06,25,3,l,36.74800109863281,-4.589000225067139
xxl,IX/52/xxl365gc,IX/52/xxl365gc,135,5,36.788,-4.301,1.058,4,1,68.57,6.72,6.84,429,2.08,0.32,0.29,51.79,7.47,9,2,+,36.78799819946289,-4.301000118255615
xxl,IX/52/xxl365gc,IX/52/xxl365gc,136,10,36.843,-3.362,0.33,6,1,52.22,0.95,0.99,698,2.36,0.35,0.24,24.9,2.74,46,4,+l,36.84299850463867,-3.361999988555908
xxl,IX/52/xxl365gc,IX/52/xxl365gc,137,127,36.85,-3.566,0.315,1,2,1e+20,1e+20,1e+20,671,0.91,0.14,0.15,3.24,0.52,5,3,F,36.849998474121094,-3.565999984741211
xxl,IX/52/xxl365gc,IX/52/xxl365gc,138,38,36.856,-4.19,0.584,4,2,1e+20,1e+20,1e+20,850,1.67,0.3,0.28,3.74,0.63,2,2,+,36.85599899291992,-4.190000057220459
xxl,IX/52/xxl365gc,IX/52/xxl365gc,139,13,36.858,-4.538,0.308,21,1,29.53,3.47,4.2,507,1.3,0.22,0.11,6.99,0.95,16,2,+l,36.858001708984375,-4.538000106811523
