catalog,vizier_source,vizier_table,recno,Name,RAJ2000,DEJ2000,Sep,Photz,E_Photz,e_Photz,Rich,e_Rich,RA_deg,Dec_deg
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1417,MOO J1557+3736,15 57 38.29,+37 36 14.3,12,1.23,0.05,0.07,27,5,239.40954166666663,37.60397222222223
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1418,MOO J1558+5154,15 58 43.49,+51 54 21.9,23,0.99,0.06,0.04,44,7,239.68120833333333,51.906083333333335
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1419,MOO J1559-0244,15 59 13.57,-02 44 09.4,26,0.9,0.06,0.05,27,6,239.80654166666665,-2.7359444444444443
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1420,MOO J1559-0520,15 59 55.97,-05 21 13.5,38,0.89,0.1,0.08,20,5,239.9832083333333,-5.35375
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1421,MOO J1600+0333,16 00 58.75,+03 32 48.0,19,0.91,0.1,0.08,25,6,240.24479166666663,3.5466666666666664
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1422,MOO J1601+3347,16 01 44.50,+33 47 54.4,44,1.31,0.06,0.11,27,5,240.43541666666664,33.79844444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1423,MOO J1603+2100,16 03 22.83,+21 00 12.8,13,0.99,0.06,0.05,42,6,240.845125,21.003555555555558
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1424,MOO J1603+2100,16 03 22.83,+21 00 12.8,13,0.99,0.06,0.05,42,6,240.845125,21.003555555555558
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1425,MOO J1605+0329,16 05 14.93,+03 29 31.8,18,0.96,0.06,0.07,41,7,241.3122083333333,3.492166666666667
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1426,MOO J1605+0329,16 05 14.93,+03 29 31.8,18,0.96,0.06,0.07,41,7,241.3122083333333,3.492166666666667
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1427,MOO J1606+1346,16 06 46.59,+13 46 44.4,22,0.99,0.08,0.07,31,6,241.694125,13.779000000000002
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1428,MOO J1606+1915,16 06 51.71,+19 15 29.5,23,1.14,0.11,0.08,24,5,241.7154583333333,19.258194444444445
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1429,MOO J1607-0129,16 07 26.32,-01 29 36.6,10,1.1,0.08,0.07,25,5,241.85966666666664,-1.4935
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1430,MOO J1607+6138,16 07 48.92,+61 37 55.9,46,1e+20,1e+20,1e+20,16959,63,241.9538333333333,61.63219444444445
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1431,MOO J1607+1838,16 07 53.90,+18 38 17.3,5,1.01,0.07,0.07,34,6,241.97458333333333,18.63813888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1432,MOO J1610+2316,16 10 21.42,+23 16 42.8,9,1.24,0.09,0.11,14,4,242.58925,23.27855555555556
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1433,MOO J1610+2316,16 10 21.42,+23 16 42.8,9,1.24,0.09,0.11,14,4,242.58925,23.27855555555556
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1434,MOO J1612+2506,16 12 36.65,+25 06 15.1,12,1.02,0.07,0.07,32,6,243.1527083333333,25.104194444444445
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1435,MOO J1613+1900,16 13 22.95,+19 00 13.4,7,1.03,0.1,0.09,15,4,243.34562499999996,19.003722222222223
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1436,MOO J1613+1900,16 13 22.95,+19 00 13.4,7,1.03,0.1,0.09,15,4,243.34562499999996,19.003722222222223
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1437,MOO J1614+4246,16 14 17.37,+42 46 24.8,2,1.09,0.06,0.06,21,5,243.572375,42.773555555555554
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1438,MOO J1614+1031,16 14 55.10,+10 32 02.0,9,1.03,0.09,0.08,14,4,243.72958333333327,10.533888888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1439,MOO J1615+3830,16 15 12.84,+38 30 30.7,9,1.1,0.13,0.11,13,4,243.8035,38.50852777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1440,MOO J1616+6053,16 17 00.49,+60 54 08.2,21,1.09,0.06,0.06,42,7,244.25204166666663,60.902277777777776
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1441,MOO J1617+3546,16 17 41.67,+35 46 24.3,12,1.08,0.07,0.08,29,5,244.423625,35.77341666666666
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1442,MOO J1618-0356,16 18 42.59,-03 56 20.1,20,0.98,0.09,0.09,16,5,244.6774583333333,-3.938916666666667
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1443,MOO J1619+5323,16 19 34.06,+53 23 17.1,9,1.21,0.08,0.09,25,5,244.89191666666665,53.38808333333333
